station_name,location,time_of_day,start_station_count,end_station_count,total_station_traffic
E 48 St & 5 Ave,"40.757245679117261,-73.978059142827988",Morning,700,874,1574
W 15 St & 7 Ave,"40.73935542,-73.99931783",Morning,809,745,1554
E 20 St & 2 Ave,"40.73587678,-73.98205027",Morning,918,626,1544
York St & Jay St,"40.7014851,-73.98656928",Morning,545,988,1533
E 23 St & 1 Ave,"40.736502,-73.97809472",Morning,865,621,1486
Metropolitan Ave & Bedford Ave,"40.71534825,-73.96024116",Morning,677,800,1477
W 22 St & 8 Ave,"40.74475148,-73.99915362",Morning,846,626,1472
Cadman Plaza E & Red Cross Pl,"40.69991755,-73.98971773",Morning,764,689,1453
E 12 St & 3 Ave,"40.73223272,-73.98889957",Morning,857,585,1442
Bank St & Washington St,"40.7361967,-74.00859207",Morning,874,557,1431
E 27 St & 1 Ave,"40.739445,-73.976806",Morning,676,753,1429
Perry St & Bleecker St,"40.73535398,-74.00483091",Morning,677,752,1429
E 25 St & 2 Ave,"40.73912601,-73.97973776",Morning,901,526,1427
11 Ave & W 59 St,"40.771522,-73.990541",Morning,865,559,1424
10 Ave & W 28 St,"40.75066386,-74.00176802",Morning,589,829,1418
Forsyth St & Broome St,"40.71893904,-73.99266288",Morning,837,566,1403
1 Ave & E 68 St,"40.76500525,-73.95818491",Morning,693,701,1394
Allen St & Hester St,"40.71605866,-73.99190759",Morning,801,586,1387
Cadman Plaza E & Tillary St,"40.69597683,-73.99014892",Morning,846,540,1386
Mercer St & Bleecker St,"40.727063633483063,-73.996621370315538",Morning,281,1094,1375
Reade St & Broadway,"40.71450451,-74.00562789",Morning,564,808,1372
Lexington Ave & E 29 St,"40.743115553764859,-73.982153534889221",Morning,732,628,1360
Greenwich St & Warren St,"40.71542197,-74.01121978",Morning,564,788,1352
E 4 St & 2 Ave,"40.7262807,-73.98978041",Morning,800,535,1335
Washington Square E,"40.73049393,-73.9957214",Morning,471,852,1323
1 Ave & E 15 St,"40.73221853,-73.98165557",Morning,842,479,1321
Wythe Ave & Metropolitan Ave,"40.716887,-73.963198",Morning,594,726,1320
E 11 St & Broadway,"40.73261787,-73.99158043",Morning,646,670,1316
E 2 St & Avenue B,"40.72217444,-73.98368779",Morning,757,559,1316
Front St & Washington St,"40.70255088,-73.98940236",Morning,437,868,1305
E 43 St & Vanderbilt Ave,"40.75320159,-73.9779874",Morning,638,666,1304
Greenwich Ave & Charles St,"40.735238,-74.000271",Morning,627,675,1302
Leonard St & Church St,"40.717571,-74.005549",Morning,665,627,1292
E 47 St & 1 Ave,"40.75206862,-73.96784384",Morning,570,718,1288
W 13 St & 5 Ave,"40.73543934,-73.99453948",Morning,522,765,1287
Greenwich St & N Moore St,"40.72043411,-74.01020609",Morning,483,776,1259
E 2 St & 2 Ave,"40.72502876,-73.99069656",Morning,720,536,1256
Kent Ave & S 11 St,"40.707644944175705,-73.968415260314941",Morning,744,502,1246
6 Ave & Broome St,"40.724399,-74.004704",Morning,663,570,1233
E 16 St & Irving Pl,"40.73524276,-73.98758561",Morning,644,563,1207
E 13 St & Avenue A,"40.72955361,-73.98057249",Morning,805,383,1188
W 63 St & Broadway,"40.77163851,-73.98261428",Morning,615,567,1182
E 15 St & 3 Ave,"40.734232,-73.986923",Morning,649,524,1173
E 52 St & 2 Ave,"40.756014,-73.967416",Morning,605,567,1172
Canal St & Rutgers St,"40.71427487,-73.98990025",Morning,712,457,1169
